iteration,weighted_content,weighted_style,weighted_tv,weighted_total
1,249.41697692871094,1936.633056640625,9.249534400623816e-07,2186.050048828125
2,169.80174255371094,166.8473663330078,2.0007672674182686e-07,336.64910888671875
3,159.45555114746094,126.4887924194336,9.92473516703285e-08,285.9443359375
4,217.5628662109375,136.67623901367188,8.250527372410943e-08,354.2391052246094
5,174.79820251464844,120.337890625,5.571165218043461e-08,295.1361083984375
6,188.34872436523438,255.67547607421875,5.625543053611182e-08,444.0242004394531
7,147.587158203125,95.56398010253906,5.451427398384112e-08,243.15113830566406
8,145.49693298339844,68.15019226074219,5.408146108720757e-08,213.64712524414062
9,119.33818054199219,58.831993103027344,5.0054424605150416e-08,178.170166015625
10,160.3206329345703,95.29975891113281,5.5701814716258014e-08,255.62039184570312
11,119.82000732421875,64.9748306274414,4.3709860619856045e-08,184.79483032226562
12,118.37781524658203,62.64044952392578,5.218923249117324e-08,181.0182647705078
13,120.56597137451172,202.4738311767578,4.050928481547089e-08,323.039794921875
14,149.3323974609375,115.23567199707031,4.766978989323434e-08,264.56805419921875
15,160.54493713378906,106.20419311523438,5.4621480671812606e-08,266.7491455078125
16,149.9387664794922,178.06820678710938,4.997657754302054e-08,328.0069580078125
17,197.31512451171875,42.17007064819336,5.4141047201028414e-08,239.48519897460938
18,190.5482177734375,110.29200744628906,5.860204410623737e-08,300.8402099609375
19,143.26605224609375,747.30224609375,5.404124436836355e-08,890.5682983398438
20,152.1674346923828,89.88510131835938,6.061635104970264e-08,242.0525360107422
21,156.6161346435547,65.09785461425781,6.778657279937761e-08,221.7139892578125
22,156.2804718017578,65.71047973632812,6.068670188597025e-08,221.99095153808594
23,186.4900360107422,94.00206756591797,6.852491196696064e-08,280.4920959472656
24,173.29513549804688,47.791934967041016,7.387688327753494e-08,221.08706665039062
25,141.91061401367188,120.17552185058594,6.183292100558901e-08,262.08612060546875
26,144.0213623046875,154.3065643310547,6.370548533141118e-08,298.32794189453125
27,164.9116973876953,107.41606903076172,6.939025354313344e-08,272.3277587890625
28,144.30599975585938,255.8621368408203,6.939662711147321e-08,400.16815185546875
29,157.46383666992188,395.3148193359375,6.544139807829197e-08,552.7786865234375
30,167.11688232421875,70.68536376953125,7.179635019838315e-08,237.80224609375
31,189.7735137939453,29.963111877441406,7.473995111695331e-08,219.73663330078125
32,153.29324340820312,171.5572509765625,7.105703758725213e-08,324.8504943847656
33,206.53521728515625,45.24699401855469,7.740811724943342e-08,251.78221130371094
34,148.75779724121094,118.7898941040039,7.736030482874412e-08,267.5476989746094
35,172.59779357910156,29.174833297729492,7.97471670921368e-08,201.7726287841797
36,133.0294647216797,21.531234741210938,6.8141652320719e-08,154.56069946289062
37,150.60824584960938,64.109619140625,6.44864783794219e-08,214.71786499023438
38,130.44927978515625,88.33991241455078,5.8274395087209996e-08,218.7891845703125
39,148.75531005859375,55.63677215576172,6.58405454601052e-08,204.39208984375
40,160.72079467773438,50.22600555419922,7.40587537961801e-08,210.94680786132812
41,118.63520812988281,14.190488815307617,5.342755571291491e-08,132.82569885253906
42,159.5077362060547,109.49655151367188,6.654387618709734e-08,269.0042724609375
43,155.5826873779297,53.720096588134766,6.3599536304082e-08,209.3027801513672
44,138.69520568847656,26.546905517578125,6.317358725027589e-08,165.2421112060547
45,108.82603454589844,66.02513122558594,6.905187177608241e-08,174.85116577148438
46,126.16179656982422,45.4084587097168,6.68605508735709e-08,171.57025146484375
47,95.21879577636719,114.62840270996094,7.15890564606525e-08,209.84719848632812
48,136.87738037109375,41.906742095947266,6.761638360330835e-08,178.78411865234375
49,127.32609558105469,445.2764892578125,6.713003841696263e-08,572.6026000976562
50,130.3342742919922,34.14030456542969,7.058820017391554e-08,164.47457885742188
51,140.99188232421875,78.81443786621094,7.800228019050337e-08,219.8063201904297
52,136.70074462890625,50.72807312011719,7.461768802841107e-08,187.42881774902344
53,150.61192321777344,92.48432922363281,7.750971775521975e-08,243.09625244140625
54,149.7486572265625,697.2147216796875,7.870476537163995e-08,846.96337890625
55,163.48953247070312,22.291982650756836,8.422100705729463e-08,185.78150939941406
56,143.52548217773438,26.233232498168945,7.884586494810719e-08,169.7587127685547
57,113.53912353515625,171.62696838378906,8.064299805710107e-08,285.16607666015625
58,135.2300262451172,110.76529693603516,9.364237030240474e-08,245.99533081054688
59,142.66676330566406,74.86542510986328,8.426522413174098e-08,217.53219604492188
60,126.11433410644531,39.824119567871094,1.0013647511186718e-07,165.93844604492188
61,88.91378021240234,84.8082275390625,7.28240721059592e-08,173.72201538085938
62,128.83424377441406,61.689754486083984,9.181839288885385e-08,190.5240020751953
63,117.30200958251953,261.4256286621094,8.067051737725706e-08,378.7276306152344
64,120.36299133300781,64.2435302734375,8.414510688226073e-08,184.6065216064453
65,165.14846801757812,17.597158432006836,7.996649742381123e-08,182.74562072753906
66,122.65848541259766,70.70491027832031,7.757732589652733e-08,193.3634033203125
67,176.2413787841797,35.69677734375,8.609098500755863e-08,211.9381561279297
68,104.32247161865234,21.193157196044922,6.78517153573921e-08,125.515625
69,98.66555786132812,14.131230354309082,6.90992649765576e-08,112.79679107666016
70,136.24871826171875,180.25880432128906,8.082129454578535e-08,316.50750732421875
71,141.93617248535156,48.81769561767578,7.682650959850434e-08,190.75387573242188
72,149.133544921875,126.87588500976562,7.999117457302418e-08,276.0094299316406
73,112.60089874267578,136.03636169433594,8.247354799095774e-08,248.63726806640625
74,116.1915512084961,52.72380447387695,8.39573175426267e-08,168.9153594970703
75,132.38731384277344,36.93456268310547,9.288689284403517e-08,169.32186889648438
76,94.39124298095703,26.46619415283203,7.87700145110648e-08,120.85743713378906
77,138.05746459960938,209.00550842285156,9.417360757879578e-08,347.06298828125
78,99.53648376464844,90.08696746826172,8.884234858896889e-08,189.62344360351562
79,90.04415130615234,57.690162658691406,7.371445320814018e-08,147.73431396484375
80,96.72315979003906,22.068504333496094,8.502443193947329e-08,118.79166412353516
81,90.82637023925781,56.89674377441406,8.689230668323944e-08,147.72311401367188
82,137.84902954101562,55.896728515625,7.802419332847421e-08,193.74575805664062
83,135.84280395507812,106.2380142211914,8.444752097602759e-08,242.080810546875
84,131.1875,23.54439926147461,9.423175129086303e-08,154.73190307617188
85,111.73587036132812,705.928955078125,8.948355656457352e-08,817.664794921875
86,143.60671997070312,19.390228271484375,9.539105150224714e-08,162.9969482421875
87,127.32853698730469,17.615415573120117,8.952414987106749e-08,144.94395446777344
88,125.17523193359375,91.2119140625,9.177760773582122e-08,216.38714599609375
89,161.82308959960938,25.434661865234375,1.0862947874556994e-07,187.25775146484375
90,91.80524444580078,32.25258255004883,8.041178745088473e-08,124.05783081054688
91,104.51435089111328,59.596221923828125,9.01502801298193e-08,164.11056518554688
92,100.28743743896484,45.38190841674805,8.29578752359339e-08,145.66934204101562
93,97.9494400024414,63.08292007446289,8.42017726654376e-08,161.03236389160156
94,146.4215087890625,36.299678802490234,9.398127787108024e-08,182.72119140625
95,126.84011840820312,80.59742736816406,8.858614819473587e-08,207.4375457763672
96,110.30498504638672,73.52627563476562,9.401637157679943e-08,183.83126831054688
97,127.44670104980469,34.349605560302734,9.637844300414145e-08,161.7963104248047
98,134.8423309326172,251.98599243164062,1.0424600560554609e-07,386.82830810546875
