iteration,weighted_content,weighted_style,weighted_tv,weighted_total
0,7.813210487365723,152.83949279785156,1.0669826622233813e-07,160.6527099609375
1,10.266534805297852,177.55050659179688,1.5935181352233485e-07,187.81704711914062
2,10.178470611572266,203.7400665283203,2.2003985122864833e-07,213.9185333251953
3,4.867401123046875,89.52648162841797,2.2529101784130035e-07,94.39388275146484
4,12.954596519470215,256.0131530761719,6.189087002894667e-07,268.9677429199219
5,10.927258491516113,173.69454956054688,1.0135294132851413e-06,184.62181091308594
6,10.22006607055664,174.41452026367188,1.5764663885420305e-06,184.63458251953125
7,12.490455627441406,161.22117614746094,3.821846803475637e-06,173.71163940429688
8,6.324099540710449,79.45960998535156,4.521772552834591e-06,85.7837142944336
9,8.499109268188477,98.78471374511719,7.787933100189548e-06,107.28382873535156
10,8.597567558288574,89.82830810546875,6.956023753446061e-06,98.4258804321289
11,11.297062873840332,120.9263916015625,5.737134415539913e-06,132.22344970703125
12,9.349748611450195,117.62649536132812,4.301510216464521e-06,126.97624969482422
13,7.600953102111816,105.24246215820312,3.221435008526896e-06,112.84341430664062
14,9.321619033813477,108.83528137207031,3.736052349267993e-06,118.15689849853516
15,8.821446418762207,99.13465881347656,4.088492460141424e-06,107.95611572265625
16,8.297403335571289,96.5278549194336,4.779824394063326e-06,104.82526397705078
17,11.373469352722168,113.7527847290039,7.789315532136243e-06,125.12625885009766
18,13.168827056884766,125.33611297607422,1.0056968676508404e-05,138.5049591064453
19,13.8876953125,119.98104095458984,1.3885084626963362e-05,133.86875915527344
20,11.002008438110352,93.12440490722656,1.2593130122695584e-05,104.12642669677734
21,10.391061782836914,81.66046905517578,1.069224344973918e-05,92.0515365600586
22,11.075241088867188,115.74295043945312,1.0198305972153321e-05,126.81819915771484
23,11.317022323608398,100.8815689086914,9.687529200164136e-06,112.19860076904297
24,11.410690307617188,104.06976318359375,9.636995855544228e-06,115.48046112060547
25,19.164817810058594,188.49281311035156,1.22657993415487e-05,207.6576385498047
26,11.314908981323242,96.67634582519531,1.1680188436002936e-05,107.99127197265625
27,9.204431533813477,67.33958435058594,1.108389096771134e-05,76.54402160644531
28,12.232912063598633,89.13984680175781,1.4729503163835034e-05,101.37277221679688
29,8.970174789428711,57.648475646972656,1.171701296698302e-05,66.61866760253906
30,11.257856369018555,77.9036636352539,1.5170926417340524e-05,89.16153717041016
31,10.647632598876953,62.335453033447266,1.5783669368829578e-05,72.98310089111328
32,10.239694595336914,64.5300521850586,1.3408237464318518e-05,74.76976013183594
33,11.290412902832031,104.03336334228516,1.420615353708854e-05,115.32379150390625
34,9.725410461425781,66.01222229003906,1.1649049156403635e-05,75.7376480102539
35,16.721261978149414,139.69677734375,1.4629379620600957e-05,156.41806030273438
36,9.245739936828613,55.65412139892578,1.2402342690620571e-05,64.8998794555664
37,12.459480285644531,78.75141143798828,1.6710711861378513e-05,91.21090698242188
38,17.320703506469727,108.01655578613281,2.182207754231058e-05,125.3372802734375
39,9.750843048095703,60.921661376953125,1.2875017091573682e-05,70.67251586914062
40,9.707319259643555,56.0814094543457,1.275401700695511e-05,65.78874206542969
41,11.036063194274902,84.54784393310547,1.4209002074494492e-05,95.58392333984375
42,15.431818008422852,170.8600616455078,1.5399247786263004e-05,186.29190063476562
43,10.177007675170898,70.05094909667969,1.4257231669034809e-05,80.22797393798828
44,16.900402069091797,84.56480407714844,2.3412836526404135e-05,101.4652328491211
45,12.320075035095215,64.86817169189453,1.7734553694026545e-05,77.18826293945312
46,15.10941219329834,94.55875396728516,2.078161014651414e-05,109.6681900024414
47,11.697444915771484,61.25122833251953,1.672311373113189e-05,72.94868469238281
48,11.297623634338379,62.192138671875,1.4696262951474637e-05,73.48977661132812
49,7.026994705200195,45.578025817871094,7.780653504596557e-06,52.60502624511719
50,10.616981506347656,52.538787841796875,1.3326284715731163e-05,63.15578079223633
51,7.088865280151367,50.173553466796875,9.464184586249758e-06,57.262428283691406
52,14.198878288269043,69.99920654296875,2.0603873053914867e-05,84.19810485839844
53,11.677244186401367,63.12073516845703,1.725350557535421e-05,74.7979965209961
54,18.22295570373535,115.67433166503906,2.573342680989299e-05,133.89732360839844
55,16.950302124023438,92.12188720703125,2.4134204068104737e-05,109.07221221923828
56,11.403964042663574,38.96522521972656,1.8558206647867337e-05,50.36920928955078
57,14.469207763671875,70.74188995361328,2.2105892639956437e-05,85.21112060546875
58,15.821526527404785,73.47853088378906,2.3469312509405427e-05,89.30007934570312
59,14.300113677978516,56.65076446533203,2.2625355995842256e-05,70.9509048461914
60,8.57518196105957,29.66204071044922,1.6263969882857054e-05,38.23723602294922
61,8.729873657226562,47.45866775512695,1.5500903828069568e-05,56.18855667114258
62,9.887033462524414,31.522510528564453,1.8247534171678126e-05,41.40956497192383
63,21.490890502929688,129.9221649169922,3.752039265236817e-05,151.4130859375
64,12.382761001586914,42.762699127197266,2.7880108973477036e-05,55.14548873901367
65,10.85983657836914,37.93696212768555,2.600069456093479e-05,48.79682540893555
66,11.870471954345703,55.36564254760742,2.5361312509630807e-05,67.23613739013672
67,9.115194320678711,38.058380126953125,2.05260184884537e-05,47.1735954284668
68,12.958250045776367,45.111942291259766,3.5478107747621834e-05,58.07022476196289
69,18.85543441772461,98.00605010986328,3.869040301651694e-05,116.86151885986328
70,16.85611343383789,48.0204963684082,4.3122974602738395e-05,64.87665557861328
71,13.673093795776367,54.81809997558594,3.3807929867180064e-05,68.49122619628906
72,13.318731307983398,53.98108673095703,2.7976444471278228e-05,67.29985046386719
73,12.813138008117676,59.35924530029297,2.429036976536736e-05,72.17240905761719
74,12.826057434082031,46.53618621826172,2.779123133223038e-05,59.36227035522461
75,11.186983108520508,35.47288513183594,2.8768386982847005e-05,46.65989685058594
76,15.623106002807617,54.94579315185547,3.990819095633924e-05,70.56893920898438
77,12.613015174865723,32.0113410949707,3.379007466719486e-05,44.6243896484375
78,13.73297119140625,48.457794189453125,2.9129552785889246e-05,62.1907958984375
79,13.983858108520508,44.50196075439453,3.478351572994143e-05,58.4858512878418
80,10.941755294799805,34.63672637939453,2.6745487048174255e-05,45.57851028442383
81,8.286029815673828,28.028793334960938,2.1317990103852935e-05,36.31484603881836
82,15.386839866638184,54.934783935546875,4.045546302222647e-05,70.32166290283203
83,11.479316711425781,36.0092887878418,3.2076768547995016e-05,47.4886360168457
84,11.64804458618164,53.11859130859375,3.379752524779178e-05,64.76666259765625
85,14.303462028503418,43.48292541503906,4.038467523059808e-05,57.78643035888672
86,9.192459106445312,31.973400115966797,2.8190637749503367e-05,41.16588592529297
87,9.790006637573242,26.08167839050293,3.093783016083762e-05,35.8717155456543
88,14.551307678222656,44.63557815551758,4.5325850805966184e-05,59.18693161010742
89,9.654889106750488,32.32198715209961,3.2723110052756965e-05,41.97690963745117
90,21.940147399902344,57.672584533691406,6.807326280977577e-05,79.61280059814453
91,13.401997566223145,35.44721984863281,4.542144597508013e-05,48.84926223754883
92,9.70083999633789,27.937728881835938,3.302972618257627e-05,37.63860321044922
93,14.062553405761719,38.453487396240234,4.438721953192726e-05,52.51608657836914
94,10.354874610900879,23.49468421936035,3.5557724913815036e-05,33.84959411621094
95,14.454951286315918,36.34952926635742,4.376296783448197e-05,50.80452346801758
96,13.65240478515625,44.195865631103516,4.084487591171637e-05,57.84831237792969
97,12.575735092163086,30.700340270996094,3.89697052014526e-05,43.27611541748047
98,11.676883697509766,34.70549774169922,3.383051080163568e-05,46.382415771484375
99,14.768871307373047,38.176963806152344,5.11299840582069e-05,52.945884704589844
100,14.238042831420898,31.71280860900879,4.821221227757633e-05,45.95090103149414
101,9.585259437561035,25.41059112548828,3.368820034665987e-05,34.99588394165039
