iteration,weighted_content,weighted_style,weighted_tv,weighted_total
1,134.19351196289062,1910.7569580078125,9.182661528939207e-07,2044.950439453125
2,89.88990783691406,257.971435546875,1.3531293063806515e-07,347.861328125
3,75.31681060791016,117.60974884033203,1.0351470791647444e-07,192.9265594482422
4,95.50835418701172,132.31846618652344,8.989380972934669e-08,227.82681274414062
5,90.30345916748047,76.123046875,7.110720900982415e-08,166.426513671875
6,93.51754760742188,222.13540649414062,6.521285911276209e-08,315.6529541015625
7,88.95352172851562,92.83592224121094,6.294390431094143e-08,181.78944396972656
8,75.3667984008789,67.76954650878906,5.933142332992247e-08,143.1363525390625
9,77.07398986816406,73.44550323486328,5.979847372827862e-08,150.51950073242188
10,78.76887512207031,57.077884674072266,6.033366162228049e-08,135.8467559814453
11,66.6947250366211,709.02392578125,6.633334237449162e-08,775.7186279296875
12,65.55108642578125,23.686031341552734,5.9502131222188837e-08,89.23712158203125
13,78.2463607788086,24.46334457397461,6.7480328880265e-08,102.70970153808594
14,66.99561309814453,126.59535217285156,6.004338359844041e-08,193.59097290039062
15,78.7831802368164,121.27946472167969,5.832257343740821e-08,200.06265258789062
16,83.16192626953125,191.72122192382812,6.194526491754004e-08,274.8831481933594
17,71.7637710571289,73.75232696533203,6.48752234155836e-08,145.51609802246094
18,73.68604278564453,115.13243103027344,5.864037433411795e-08,188.8184814453125
19,72.72209930419922,59.438480377197266,5.8136372160788596e-08,132.16058349609375
20,53.09761428833008,38.5750732421875,4.9937909807340475e-08,91.67268371582031
21,72.68045043945312,124.0061264038086,5.6170545548184236e-08,196.68658447265625
22,66.88650512695312,41.22407531738281,6.139097052937359e-08,108.11058044433594
23,91.63719177246094,91.27262878417969,7.24760838011207e-08,182.90982055664062
24,67.04499053955078,50.90013122558594,6.564656018781534e-08,117.94512176513672
25,59.840911865234375,278.29241943359375,5.484831433477666e-08,338.1333312988281
26,52.93389892578125,154.9141387939453,5.7311773105084285e-08,207.84803771972656
27,76.50678253173828,462.74920654296875,6.877505853708499e-08,539.2559814453125
28,71.13066864013672,50.126365661621094,6.766067173202828e-08,121.25703430175781
29,79.46930694580078,53.108272552490234,7.429083836996142e-08,132.57757568359375
30,66.55792999267578,118.44361114501953,7.827676995475485e-08,185.0015411376953
31,64.08326721191406,59.82992172241211,6.963226439893333e-08,123.91319274902344
32,76.48678588867188,31.05954360961914,7.781657274108511e-08,107.54632568359375
33,89.53974914550781,31.74582290649414,8.433028853005453e-08,121.28556823730469
34,82.76764678955078,69.84967041015625,6.840138411234875e-08,152.6173095703125
35,46.43789291381836,197.8148651123047,5.378360157237694e-08,244.2527618408203
36,86.70391845703125,26.851520538330078,6.556910392419013e-08,113.55543518066406
37,70.6413345336914,98.6746597290039,5.926940715994533e-08,169.3159942626953
38,79.71028137207031,45.11963653564453,6.300097510347769e-08,124.82991790771484
