weighted_content,weighted_style,weighted_tv,weighted_total
10.625114440917969,8.164505004882812,3.387858953374234e-07,18.78961944580078
10.294615745544434,8.112775802612305,4.186785815818439e-07,18.407390594482422
8.796805381774902,6.54202938079834,3.708383360390144e-07,15.338834762573242
11.68928337097168,9.605220794677734,4.0767920950202097e-07,21.294504165649414
9.444533348083496,6.556929588317871,4.2221975604661566e-07,16.001462936401367
9.006381034851074,7.867176532745361,3.4785347224897123e-07,16.873558044433594
12.10838508605957,9.358131408691406,3.4016849781437486e-07,21.466516494750977
18.168140411376953,19.246315002441406,3.855578256661829e-07,37.41445541381836
8.997870445251465,5.467580795288086,3.7820660736542777e-07,14.46545124053955
17.498733520507812,15.873462677001953,4.197780185677402e-07,33.372196197509766
11.981760025024414,12.97613525390625,3.864956283905485e-07,24.957895278930664
11.576557159423828,12.450295448303223,3.5368000794733234e-07,24.026851654052734
9.721363067626953,11.312702178955078,3.709587304001616e-07,21.03406524658203
11.985237121582031,10.77806282043457,3.3285272138527944e-07,22.7632999420166
10.851551055908203,11.667749404907227,4.6743281245653634e-07,22.51930046081543
8.925111770629883,11.196407318115234,3.549664597812807e-07,20.121519088745117
15.930805206298828,16.763519287109375,4.42874721784392e-07,32.6943244934082
9.535054206848145,5.977537631988525,3.198168769813492e-07,15.512592315673828
16.50064468383789,13.256425857543945,3.1580336212755356e-07,29.757070541381836
7.108742713928223,5.923160552978516,3.3643442520769895e-07,13.031903266906738
15.02106761932373,14.435462951660156,3.986990009252622e-07,29.456531524658203
10.122350692749023,9.4067964553833,3.6104745504417224e-07,19.52914810180664
11.643956184387207,8.856626510620117,3.561815731245588e-07,20.50058364868164
14.688433647155762,12.186716079711914,4.178890549155767e-07,26.87514877319336
10.688340187072754,11.641613006591797,3.780852750878694e-07,22.329952239990234
16.251415252685547,13.42257308959961,4.1042991938411433e-07,29.673988342285156
10.953082084655762,6.944979667663574,3.674105357731605e-07,17.898061752319336
15.750555992126465,18.976760864257812,4.3408417127466237e-07,34.727317810058594
8.583917617797852,4.483396053314209,2.8217715453138226e-07,13.067314147949219
12.042762756347656,8.996087074279785,3.4389984193694545e-07,21.038848876953125
13.39687728881836,8.992778778076172,3.9112751437642146e-07,22.38965606689453
10.659760475158691,8.615030288696289,3.1541409839519474e-07,19.274791717529297
12.43757438659668,12.397576332092285,4.1686885765557236e-07,24.83515167236328
14.427614212036133,9.390151977539062,3.6845671047558426e-07,23.817766189575195
11.165164947509766,12.241034507751465,3.9721726352581754e-07,23.406200408935547
7.976285934448242,12.380619049072266,3.156588093133905e-07,20.356904983520508
11.874519348144531,7.985808849334717,3.394225700503739e-07,19.860328674316406
10.85324478149414,7.778563499450684,3.6113769397161377e-07,18.63180923461914
10.436026573181152,8.137201309204102,3.2333628041669726e-07,18.573226928710938
11.656949043273926,8.854015350341797,3.4442754781593976e-07,20.510963439941406
10.58614730834961,8.314451217651367,3.354695650159556e-07,18.900598526000977
13.181119918823242,9.901020050048828,4.400690727379697e-07,23.08213996887207
20.874900817871094,21.15789222717285,4.010858276615181e-07,42.03279113769531
13.48425006866455,7.318687438964844,3.594538497964095e-07,20.802936553955078
9.912858963012695,7.100581169128418,3.311903356006951e-07,17.013439178466797
20.56071662902832,20.93792724609375,4.512344560225756e-07,41.49864196777344
11.002960205078125,12.248983383178711,3.5280785937175096e-07,23.251943588256836
13.024689674377441,10.820837020874023,4.185333182249451e-07,23.84552764892578
8.85805892944336,7.244253158569336,3.2922440595939406e-07,16.102312088012695
10.649643898010254,7.8037004470825195,3.535399173415499e-07,18.453344345092773
11.332259178161621,8.276766777038574,4.0003664025789476e-07,19.609025955200195
9.704648971557617,9.396080017089844,3.30479394961003e-07,19.10072898864746
9.141735076904297,5.890469074249268,3.4446691188350087e-07,15.032203674316406
15.251225471496582,14.39736270904541,4.1973055431299144e-07,29.648588180541992
11.600136756896973,12.571755409240723,3.64750150083637e-07,24.171892166137695
9.832281112670898,7.232911586761475,3.498276726077165e-07,17.06519317626953
12.392484664916992,12.26711368560791,3.473738843240426e-07,24.65959930419922
14.971551895141602,11.924402236938477,3.998269164640078e-07,26.895954132080078
9.721467018127441,6.959965229034424,3.860388915200019e-07,16.681432723999023
10.511597633361816,8.40183162689209,4.133951847506978e-07,18.913429260253906
11.702265739440918,8.804394721984863,4.4749771177521325e-07,20.50666046142578
9.76788330078125,11.729562759399414,3.081210309119342e-07,21.497446060180664
9.99044418334961,10.51552677154541,4.0717918636801187e-07,20.505970001220703
16.456483840942383,17.529829025268555,4.03430590267817e-07,33.98631286621094
10.398110389709473,11.658599853515625,2.85232772512245e-07,22.05670928955078
19.075603485107422,21.931568145751953,4.361218657322752e-07,41.007171630859375
13.623494148254395,15.608367919921875,4.5165020878812356e-07,29.231861114501953
8.950986862182617,4.608295440673828,2.74478054507199e-07,13.559282302856445
10.389071464538574,10.878029823303223,3.934905521418841e-07,21.267101287841797
10.076900482177734,8.893014907836914,4.102582806808641e-07,18.96991539001465
13.59395980834961,7.705474853515625,4.0034902326624433e-07,21.299434661865234
12.308513641357422,10.256402969360352,3.765910889796942e-07,22.564916610717773
10.34074878692627,8.22407341003418,3.2144720307769603e-07,18.564823150634766
7.130816459655762,6.560576438903809,2.966931731407385e-07,13.69139289855957
13.571599006652832,11.031888961791992,3.205903169600788e-07,24.60348892211914
20.0871639251709,21.12303924560547,3.842730507130909e-07,41.210205078125
7.463253974914551,3.782949686050415,3.474108325463021e-07,11.246203422546387
14.60565185546875,10.783949851989746,4.1712070242283517e-07,25.389602661132812
13.58931827545166,13.65959358215332,3.7857023471588036e-07,27.248912811279297
10.412007331848145,8.752971649169922,4.050474728956033e-07,19.16497802734375
13.490280151367188,14.48824405670166,3.780623103466496e-07,27.97852325439453
11.331522941589355,8.354521751403809,3.7307040656742174e-07,19.686044692993164
10.049612045288086,8.43154239654541,3.892305358021986e-07,18.481155395507812
9.488006591796875,5.774112224578857,3.494880331800232e-07,15.26211929321289
13.362171173095703,15.144292831420898,3.3054524806175323e-07,28.5064640045166
13.948182106018066,14.412516593933105,4.06649064643716e-07,28.360698699951172
10.96739673614502,8.341100692749023,3.909456438577763e-07,19.30849838256836
8.822249412536621,7.4993085861206055,3.418386711473431e-07,16.321557998657227
18.093658447265625,18.19768714904785,4.2928883203785517e-07,36.291343688964844
